Boiler_Type,Capacity_MW,Steam_Flow_TPH,Rated_Pressure_kgcm2,Rated_Steam_Temperature_C,Superheater_Weight_kg,Reheater_Weight_kg,Water_Circulation_System_Weight_kg,Economiser_Weight_kg,Steam_Drum_Weight_kg,Pipe_Supports_kg,Buckstay_System_kg,Boiler_Rough_Mountings_kg,Foundation_Bolts_kg,Grouting_kg,Insert_Materials_kg,Insulation_Weight_kg,Seal_Boxes_kg,Sealing_Arrangements_kg,Hoppers_kg,Chutes_kg,Deaerator_kg,Soot_Blowers_kg,Boiler_Mountings_Fittings_kg,Maintenance_Tools_kg,Field_Instruments_kg,Instrumentation_Erection_Hardware_kg,Electrical_Panels_kg,Electrical_Erection_Materials_kg,Illumination_System_kg,HP_Dosing_System_kg,LP_Dosing_System_kg,Common_Blowdown_Equipment_kg,Sample_Coolers_kg,Fasteners_kg,Gaskets_kg,Spares_kg,Miscellaneous_Items_kg,Total_Estimated_Weight_kg
Bi-Drum,500,2000,325,400,2513273.9,1673920.7,750483.7,4412440.9,3381061.1,686068.7,1206377.1,122048.3,171830.0,144487.6,59424.9,871659.4,141983.3,125196.1,492196.8,189137.7,1033335.1,224302.4,445679.8,44604.5,70369.9,43094.6,99817.7,79205.7,19834.9,25517.2,12461.7,25349.0,10184.8,51131.5,24890.5,1025373.0,309656.9,20486399.4
AFBC,100,1000,325,400,1090578.3,588716.9,123887.7,2231472.7,550188.8,350544.2,296686.9,57529.7,70596.2,58661.0,30916.7,226450.6,59085.3,51306.9,205182.3,83837.7,698457.0,96268.3,185725.1,23276.3,35681.8,20930.7,52745.0,34729.6,11971.1,18675.5,8198.4,13871.6,7726.2,22485.6,13147.2,357079.1,101668.2,7778278.6
Two-Pass,200,500,200,250,364932.6,181820.0,183015.2,1167571.7,742552.3,249264.1,484033.8,73020.9,97419.5,81063.2,41602.4,358968.6,84731.0,84468.3,255103.3,121101.2,448575.2,161703.5,266275.6,33412.6,45458.8,31169.5,82278.0,54384.7,15011.9,19383.4,11465.6,16921.5,8011.4,23388.7,13377.6,302857.1,81679.0,6186022.2
Two-Pass,100,500,150,250,287203.8,195687.3,74794.7,1158821.4,344581.2,252836.7,283168.8,50355.4,83265.9,60191.0,37172.3,216034.2,69470.5,58330.6,205586.5,98844.8,466679.4,114364.7,178867.9,23929.2,41132.6,23928.5,62468.4,35209.2,10305.5,18105.1,8156.5,16016.7,6505.0,18277.7,9482.0,198779.0,69748.5,4778301.0
AFBC,270,200,325,250,169515.9,105502.8,319615.1,412029.2,1384989.0,285696.8,744809.4,86522.4,113554.1,94226.7,55327.6,281243.0,117039.2,97259.9,297346.0,161826.5,226017.5,186757.4,315954.5,32888.6,58434.3,29940.6,91067.8,52793.7,13841.0,21810.0,10318.6,21129.2,8583.6,23289.9,13137.0,318272.6,81948.8,6232688.7
AFBC,100,200,150,300,143070.1,88074.4,74836.6,410833.7,404241.0,185056.7,351093.2,50338.6,69866.5,59364.4,30872.5,144846.5,59820.7,59922.2,178316.4,86612.9,232204.4,116175.0,182607.7,27582.9,40051.9,21283.3,61473.6,41537.7,12198.0,16179.9,8360.5,13314.9,7862.5,15526.5,8939.8,147099.6,51337.1,3400901.7
Bi-Drum,500,1000,250,300,960071.0,653433.4,644796.7,2111628.8,3012805.0,457108.5,1037175.9,139237.6,151056.0,124377.6,61571.6,698089.9,166256.5,141019.9,491734.4,223430.8,597601.1,221030.1,380669.6,43927.7,73072.1,43104.1,115566.5,78954.1,17125.0,30183.3,12059.6,21467.4,9941.0,37869.7,18842.5,614173.7,181739.4,13571120.5
CFBC,270,300,200,350,226185.0,155509.6,300753.1,765997.4,1312700.1,281080.9,824704.6,88798.7,113333.7,90960.9,55302.3,375769.3,129146.8,127886.5,351208.2,139735.6,294865.9,162485.3,269958.3,31353.9,58284.4,35092.7,78123.3,52567.7,15841.2,25376.4,11953.6,18498.8,8374.7,23849.8,11785.0,337623.7,88286.6,6863394.0
CFBC,500,2000,325,400,2076062.6,1382610.8,639624.7,5165682.6,2311362.3,664231.0,1319102.8,140132.5,151174.8,125965.0,58546.3,1024195.8,175192.3,174754.0,492030.3,222326.6,930976.8,257165.3,387406.6,38605.0,60776.8,43621.4,100131.5,78467.1,16717.4,25505.6,14417.7,25907.2,11621.5,44378.6,24619.6,847645.4,258343.5,19289301.4
CFBC,50,150,250,250,106417.6,81155.9,51295.8,347246.1,274007.8,154147.1,234071.2,40789.6,61670.9,44440.6,23308.4,80370.2,64445.3,54771.6,120053.9,61489.5,196952.6,81890.9,123618.3,22233.4,32580.9,18995.2,39358.3,31657.9,9667.1,13186.8,6983.1,12992.4,5538.3,11113.2,6648.7,131341.8,33462.2,2577902.6
Two-Pass,100,200,100,400,130986.8,79587.6,68387.4,447625.0,338617.0,171893.7,280630.9,58131.1,81631.7,69545.7,31619.6,138338.1,57721.4,59484.3,208318.1,83980.0,229163.0,116414.2,153090.9,27827.4,34295.3,24755.6,54191.9,34541.6,10190.4,18632.5,8251.3,13296.3,7636.0,18037.4,9067.8,140536.5,48738.3,3255164.8
Bi-Drum,270,2000,200,350,1743187.0,1189983.4,300382.2,4432676.7,1885304.6,599904.3,774140.9,99156.7,111684.8,110404.8,54171.8,643003.8,119220.0,105153.5,349309.3,142819.6,916598.1,188697.7,311422.0,37407.8,50384.6,29349.7,92726.7,53532.1,16130.6,25475.2,12483.9,20820.8,8379.2,36573.2,21112.8,655650.2,197313.1,15334561.1
Bi-Drum,660,200,325,400,189742.7,126183.9,993780.0,526384.0,4289365.8,477509.4,1504617.3,161404.0,197048.2,137827.5,67499.4,543387.2,187241.7,142214.3,503888.2,251377.5,223915.6,250459.2,451994.1,48967.4,67321.0,40684.8,128954.4,75603.4,18050.3,27598.2,13217.8,24109.5,10894.7,39664.2,16561.7,566602.5,163948.0,12468017.9
Two-Pass,100,150,100,350,81278.7,55660.6,61408.5,373059.8,336920.6,157960.0,287662.4,51011.2,82600.5,58747.8,32211.6,150367.5,68132.9,60034.8,207355.1,84535.0,224451.2,112655.2,185734.0,24162.8,41392.2,21114.6,60447.2,36198.9,10303.9,18360.4,9436.7,13682.0,7532.0,14456.0,7129.0,129163.8,40016.5,3105183.4
AFBC,660,500,200,400,450697.2,287328.1,680861.2,1088632.8,2865007.2,429427.8,1249513.7,162933.2,192937.7,163144.4,79170.9,800936.8,152216.7,152767.3,575356.4,256301.4,453648.8,290663.4,510321.2,41340.9,78309.6,41315.6,132029.8,86612.8,21605.7,28577.3,15363.2,27359.5,12388.8,36846.0,18317.9,595462.0,180241.5,12157636.8
Bi-Drum,200,200,200,250,155783.8,103997.2,209074.7,398208.2,1217393.5,229146.2,621238.5,75285.1,113926.9,82013.9,41094.3,226772.3,87196.3,88683.9,256394.8,122638.5,227896.9,140053.2,227638.5,34216.9,52110.9,26826.5,68761.6,47339.5,12495.5,23016.9,11108.3,19011.9,7784.3,20116.1,10209.9,277393.3,81077.3,5315905.6
CFBC,270,300,200,350,264319.0,156153.7,295445.5,643875.5,1101565.5,291909.7,831846.7,87672.2,110407.8,93760.8,47402.0,316583.4,124984.9,129403.7,346831.8,140408.6,288328.1,183252.4,322221.9,32391.0,57996.0,34860.4,76838.9,52179.6,13682.3,24746.2,10252.9,18303.7,10054.7,28487.6,14181.9,285711.7,101641.4,6537701.5
CFBC,250,500,250,250,429412.3,287741.9,307782.7,1028131.2,1144583.9,286692.1,892924.7,97032.0,109785.4,89290.6,46169.7,358782.8,120504.5,120295.8,288487.7,156133.9,453812.9,151176.0,263217.7,37192.6,56429.3,28373.9,74992.9,50435.2,13791.2,21388.8,11803.1,18031.7,9789.5,25808.9,14734.1,385747.0,100409.9,7480885.9
Bi-Drum,500,150,250,300,114100.7,76868.0,573383.7,372511.0,3644214.0,393260.7,1221350.5,119304.7,143947.6,144482.9,68758.8,474871.3,139467.6,142149.0,416460.5,186140.2,196451.4,223230.8,381415.7,37728.0,61363.2,42482.9,114555.8,78827.4,16717.1,30436.8,12224.0,25728.7,9825.5,29718.6,16613.8,496005.2,146204.9,10150801.0
AFBC,660,2000,250,350,1968450.9,1078853.5,877661.1,4969227.6,2750033.6,549323.3,1442324.3,165759.6,166373.0,140489.0,65716.2,1061466.4,157455.5,157530.4,499500.4,257538.7,886473.6,288349.0,527279.7,41919.3,78452.8,47859.6,132133.1,73318.7,21243.4,32269.4,15571.8,23629.7,10608.0,46552.2,26991.9,867349.0,260230.7,19687935.4
Bi-Drum,200,150,100,400,95429.5,65484.1,130870.6,324588.9,1089585.5,196835.1,629616.8,84444.4,96952.1,80959.6,47488.8,249958.7,101866.5,78798.2,297348.1,121616.3,186758.5,135767.8,262233.6,34066.2,52956.8,27266.6,68925.3,54630.7,14468.9,19225.7,9714.5,19163.6,9066.5,22731.1,11051.2,243897.1,63284.1,4927051.4
Two-Pass,50,200,200,350,132980.5,90655.0,46583.2,495762.3,240538.1,165240.4,198015.3,39821.2,61897.5,42860.4,27446.2,87445.9,47248.5,35473.2,121674.9,60825.2,229981.7,80845.4,123371.0,19690.0,31351.9,16487.4,46794.5,26193.4,9976.1,15276.4,7003.5,12672.3,5562.6,12260.3,6081.5,133824.2,40710.6,2712550.6
Bi-Drum,270,150,300,350,131213.9,84298.0,307557.5,377861.1,2172593.3,310030.0,773950.5,100450.8,128293.4,108193.3,53312.6,254018.5,119481.3,89026.7,299091.0,164796.2,218948.5,190468.7,315775.9,36859.8,57524.8,30540.2,93597.5,52252.6,16038.4,21549.0,12142.3,21623.8,8536.9,25765.0,10935.4,300010.5,86253.2,6972990.6
Bi-Drum,100,500,100,300,357842.2,244059.4,59243.3,1058704.5,577897.0,262751.0,360479.7,49084.7,81960.4,68229.4,36810.8,182226.5,61489.8,63449.7,203415.8,86938.5,469694.4,98618.8,179878.0,27286.7,35254.0,23930.0,53982.4,41462.2,12122.2,18230.5,9434.4,13332.4,7662.2,21312.1,11088.8,253164.9,76889.6,5107926.3
Bi-Drum,100,500,325,300,504400.7,340211.9,108538.5,1022030.0,945932.9,263851.9,364902.2,59622.1,82310.0,59215.2,31698.0,212413.7,64067.6,53322.0,203192.0,83800.3,385476.1,100502.5,184300.4,23638.6,40310.4,21205.6,52361.3,35834.1,11997.1,18160.8,8128.6,15620.4,7878.6,21547.3,9587.3,250206.6,73694.0,5659958.7
AFBC,100,500,100,350,359911.5,217385.4,61673.0,1259801.3,338460.3,261389.2,296881.7,58649.5,82905.4,60506.6,35912.0,185337.8,59340.8,51026.9,177022.5,83843.1,393646.7,114687.4,154387.2,23848.8,40051.1,21570.8,51791.4,41752.4,11849.4,18510.0,9623.2,13803.1,7588.3,21401.3,10858.8,208820.1,73927.1,4808164.1
CFBC,100,150,100,350,93032.3,69087.6,61411.1,323682.6,397387.7,140674.8,388538.5,59379.3,71768.8,59525.7,31403.3,131059.1,78083.9,64792.1,205413.1,84612.3,190088.8,98178.7,155496.9,23810.8,40821.1,24987.5,52101.0,40391.6,12066.6,18859.9,8069.3,13366.7,7846.3,17156.4,7318.0,162918.0,43405.4,3176735.2
